uid,nom,prenom
PA722170,Beaudouin-Hubiere,Sophie
PA719874,Jacquier-Laforge,Élodie
PA722134,Fiévet,Jean-Marie
PA719960,Faure-Muntian,Valéria
PA569,Bonnecarrère,Philippe
PA722284,Fuchs,Bruno
PA775204,Cadec,Alain
PA784534,Devesa,Brigitte
PA1477,Ginesta,Jordi
PA340357,Victory,Michèle
PA719286,Colombani,Paul-André
PA721418,Mignola,Patrick
PA605131,Castaner,Christophe
PA606098,Marleix,Olivier
PA268007,Corbisez,Jean-Pierre
PA775200,Briquet,Isabelle
PA332523,Dalloz,Marie-Christine
PA719910,Belhamiti,Mounir
PA722062,Granjus,Florence
PA643190,Poadja,Gérard
PA415447,Lefèvre,Antoine
PA721888,Raphan,Pierre-Alain
PA719436,Meizonnet,Nicolas
PA642724,Barbier,Frédéric
PA1090,Dériot,Gérard
PA775168,Anglars,Jean-Claude
PA767,Cattin,Jacques
PA715322,Gerbaud,Frédérique
PA391505,Gonthier-Maurin,Brigitte
PA719060,Jerretie,Christophe
PA429874,Savin,Michel
PA718894,Dombreval,Loïc
PA267204,Sermier,Jean-Marie
PA783463,Métadier,Sophie
PA736207,Sol,Jean
PA643211,Montaugé,Franck
PA736182,Lafon,Laurent
PA2502,Raffarin,Jean-Pierre
PA304071,Collombat,Pierre-Yves
PA775264,Petrus,Annick
PA721530,Luquet,Aude
PA415457,Navarro,Robert
PA335054,Karamanli,Marietta
PA722198,Coriton,Bastien
PA775292,Tabarot,Philippe
PA721924,de Vaucouleurs,Michèle
PA785855,Chantrel,Yan
PA736195,Gay,Fabien
PA643134,Valentin,Isabelle
PA720614,Le Pen,Marine
PA775242,Klinger,Christian
PA703492,Hervé,Loïc
PA643127,Questel,Bruno
PA2116,Masson,Jean Louis
PA720704,Vichnievsky,Laurence
PA712015,Dive,Julien
PA304082,Assassi,Éliane
PA719972,Sarles,Nathalie
PA775226,Fialaire,Bernard
PA415476,Joissains,Sophie
PA304014,Khiari,Bariza
PA720202,Krimi,Sonia
PA720210,Beauvais,Valérie
PA736246,Lassarade,Florence
PA2435,Poher,Hervé
PA1883,Le Nay,Jacques
PA267794,Tabarot,Michèle
PA719202,Paris,Didier
PA1809,Lambert,Jérôme
PA2848,Türk,Alex
PA720552,Rauch,Isabelle
PA720754,Studer,Bruno
PA2796,Teissier,Guy
PA703499,Prunaud,Christine
PA425322,Deroche,Catherine
PA724827,Ali,Ramlati
PA721776,Baichère,Didier
PA755549,Brial,Sylvain
PA429839,Le Scouarnec,Michel
PA736245,Cazabonne,Alain
PA722038,Adam,Damien
PA608695,Untermaier,Cécile
PA718926,Dharréville,Pierre
PA718838,Brun,Fabrice
PA757676,Apourceau-Poly,Cathy
PA703514,Canevet,Michel
PA722054,Hai,Nadia
PA343988,Paccaud,Olivier
PA722086,Taquet,Adrien
PA719440,Cellier,Anthony
PA718962,Zulesi,Jean-Marc
PA721296,Gouffier-Cha,Guillaume
PA718728,Vanceunebrock,Laurence
PA415482,Mézard,Jacques
PA268048,Lurel,Victorin
PA1435,Gaudin,Jean-Claude
PA703480,Médevielle,Pierre
PA719456,Mörch,Sandrine
PA718930,Petel,Anne-Laurence
PA267337,Bouchet,Claire
PA1336,Foucaud,Thierry
PA719866,Abadie,Caroline
PA718910,Pitollat,Claire
PA227094,Sido,Bruno
PA736228,Gold,Éric
PA606712,Lurton,Gilles
PA736187,Filleul,Martine
PA775192,Borchio Fontimp,Alexandra
PA721678,Reda,Robin
PA736163,Bertrand,Anne-Marie
PA340419,Duran,Alain
PA227028,Duvernois,Louis
PA2684,Saugey,Bernard
PA703488,Kennel,Guy-Dominique
PA1253,Émorine,Jean-Paul
PA719020,Porte,Nathalie
PA718794,Hérin,Danièle
PA719496,Cabaré,Pierre
PA429856,Soilihi,Abdourahamane
PA421348,Villiers,André
PA1229,Durrieu,Josette
PA720814,Cazenove,Sébastien
PA736236,Herzog,Christine
PA342601,Brindeau,Pascal
PA429858,Bas,Philippe
PA1998,Lorgeoux,Jeanny
PA605888,Le Houerou,Annie
PA736203,Kauffmann,Claudine
PA736158,Vermeillet,Sylvie
PA310473,Hoarau,Gélita
PA335612,Lecoq,Jean-Paul
PA267419,Des Esgaulx,Marie-Hélène
PA2047,Manable,Christian
PA775284,Sautarel,Stéphane
PA1046,Delattre,Francis
PA721750,Calvez,Céline
PA782,Cazeau,Bernard
PA720038,Josso,Sandrine
PA1183,Dufaut,Alain
PA719404,Le Gac,Didier
PA775208,Chauvet,Patrick
PA415479,Paul,Philippe
PA720230,Magnier,Lise
PA722292,Rudigoz,Thomas
PA720414,Perrot,Patrice
PA721336,Brocard,Blandine
PA429866,Labbé,Joël
PA267336,Giraud,Joël
PA607919,Dufour-Tonini,Anne-Lise
PA720878,Saint-Martin,Laurent
PA719858,Limon,Monique
PA686138,Émery-Dumas,Anne
PA721398,Degois,Typhanie
PA706520,Yonnet,Évelyne
PA342240,Bourgeaux,Jean-Luc
PA736164,Grelet-Certenais,Nadine
PA266795,Gatel,Françoise
PA342935,Dubois,Marianne
PA415474,Nègre,Louis
PA720492,Osson,Catherine
PA719338,Melchior,Graziella
PA720630,Minot,Maxime
PA720932,Da Silva,Dominique
PA720606,Pajot,Ludovic
PA721872,Poirson,Brune
PA719364,O'Petit,Claire
PA719396,Larsonneur,Jean-Charles
PA736204,Mizzon,Jean-Marie
PA605694,Falorni,Olivier
PA719472,Cazeneuve,Jean-René
PA267200,Huyghe,Sébastien
PA415471,Daunis,Marc
PA415477,Fichet,Jean-Luc
PA703516,Luche,Jean-Claude
PA722190,Attal,Gabriel
PA721824,Renson,Hugues
PA346054,Maquet,Emmanuel
PA719488,Berta,Philippe
PA720108,Oppelt,Valérie
PA719480,Gaillard,Olivier
PA703498,Doineau,Élisabeth
PA720790,Grau,Romain
PA1327,Forissier,Nicolas
PA2377,Perrut,Bernard
PA1842,Laufoaulu,Robert
PA718998,David,Sébastien
PA736199,Bigot,Joël
PA720162,Bolo,Philippe
PA703507,Genest,Jacques
PA719266,Cubertafon,Jean-Pierre
PA736233,Iacovelli,Xavier
PA766283,Constant,Agnès
PA721426,Riotton,Véronique
PA720454,Houbron,Dimitri
PA776985,Garnier,Laurence
PA332614,Juanico,Régis
PA227078,Guené,Charles
PA721226,Rubin,Sabine
PA980,Dallier,Philippe
PA607553,Potier,Dominique
PA429832,Marseille,Hervé
PA2828,Tourret,Alain
PA341272,Botrel,Yannick
PA703486,Arnell,Guillaume
PA720830,Thomas,Valérie
PA719162,Dubois,Jacqueline
PA719154,Martin,Didier
PA720310,Arend,Christophe
PA722008,Leguille-Balloy,Martine
PA775216,Drexler,Sabine
PA719540,Toutut-Picard,Élisabeth
PA722390,Corneloup,Josiane
PA429844,Meunier,Michelle
PA709750,Chain-Larché,Anne
PA736185,Malet,Viviane
PA923,Cornut-Gentille,François
PA703497,Mandelli,Didier
PA721718,Do,Stéphanie
PA720546,Bruneel,Alain
PA720092,Ramos,Richard
PA747421,Bouloux,Yves
PA745,Carrère,Jean-Louis
PA720854,Testé,Stéphane
PA775228,Genet,Fabien
PA719806,Auconie,Sophie
PA720370,Mendes,Ludovic
PA942,de Courson,Charles
PA720780,Sempastous,Jean-Bernard
PA761231,Ramond,Françoise
PA429868,Michel,Danielle
PA610667,Serville,Gabriel
PA415453,Lepage,Claudine
PA227096,Todeschini,Jean-Marc
PA304079,Dassault,Serge
PA775238,Jacquemet,Annick
PA775294,Vallet,Mickaël
PA721956,O,Delphine
PA719448,Chapelier,Annie
PA721836,Barrot,Jean-Noël
PA719024,Blanchet,Christophe
PA707206,Riocreux,Stéphanie
PA1502,Godefroy,Jean-Pierre
PA721170,Vojetta,Stéphane
PA775190,Bonnus,Michel
PA721624,Avia,Laetitia
PA760322,Buis,Bernard
PA719250,Chassaing,Philippe
PA721450,Lenne,Marion
PA775246,Lahellec,Gérard
PA227029,Férat,Françoise
PA718860,Taurine,Bénédicte
PA2469,Poyart,Alain
PA720560,Goulet,Perrine
PA703483,Danesi,René
PA342564,Lubin,Monique
PA736177,Gontard,Guillaume
PA481,Berson,Michel
PA333818,Hutin,Christian
PA415486,Goy-Chavent,Sylvie
PA734539,Dutheil,Laurent
PA1375,Frogier,Pierre
PA330909,Descoeur,Vincent
PA643175,Dupont,Stella
PA267728,Priou,Christophe
PA791,César,Gérard
PA775278,Rohfritsch,Teva
PA720500,Petit,Valérie
PA343775,Lherbier,Brigitte
PA722260,Villani,Cédric
PA715745,Cuypers,Pierre
PA720402,Paluszkiewicz,Xavier
PA783457,Habert-Dassault,Victor
PA1919,Legendre,Jacques
PA1071,Demessine,Michelle
PA719484,Daufès-Roux,Catherine
PA689,Buffet,Marie-George
PA775218,Duffourg,Alain
PA719994,Kamowski,Catherine
PA775222,Favreau,Gilbert
PA703525,Cadic,Olivier
PA721166,Cazebonne,Samantha
PA775194,Bouad,Denis
PA736234,Conconne,Catherine
PA720214,Kuric,Aina
PA774960,Santiago,Isabelle
PA721702,Fauvergue,Jean-Michel
PA266797,Gosselin,Philippe
PA718682,Trompille,Stéphane
PA342415,Battistel,Marie-Noëlle
PA707706,Tetuanui,Lana
PA721328,Brugnera,Anne
PA267901,Kamardine,Mansour
PA719718,Maillart-Méhaignerie,Laurence
PA721832,Boëlle,Sandra
PA721182,Petit,Frédéric
PA906,Collomb,Gérard
PA267289,Door,Jean-Pierre
PA334768,Touraine,Jean-Louis
PA703509,Jeansannetas,Éric
PA415456,Bruguière,Marie-Thérèse
PA337483,Letchimy,Serge
PA703518,Mouiller,Philippe
PA721474,Viry,Stéphane
PA721062,Ratenon,Jean-Hugues
PA267306,Chassaigne,André
PA429891,Benbassa,Esther
PA721514,Kerbarh,Stéphanie
PA1874,Le Fur,Marc
PA722312,Bessot Ballot,Barbara
PA736213,Leroy,Henri
PA227092,Raoul,Daniel
PA720326,Hammouche,Brahim
PA394676,Laménie,Marc
PA721234,Petit,Maud
PA720138,Saint-Paul,Laetitia
PA2505,de Raincourt,Henri
PA774952,Benassaya,Philippe
PA725,Cantegrit,Jean-Pierre
PA703540,Allizard,Pascal
PA721742,Florennes,Isabelle
PA720652,Duvergé,Bruno
PA693008,Polutele,Napole
PA404656,Dumas,Catherine
PA720334,Pahun,Jimmy
PA775230,Gueret,Daniel
PA266788,Morel-À-L'Huissier,Pierre
PA429896,Roche,Gérard
PA775270,Pluchet,Kristina
PA719798,Labaronne,Daniel
PA642868,Christophe,Paul
PA415488,Bonnefoy,Nicole
PA2086,Marlin,Franck
PA720378,Lioger,Richard
PA736227,Saury,Hugues
PA267989,Gilles,Bruno
PA720634,Courtial,Édouard
PA720006,Geismar,Luc
PA720178,Garcia,Laurent
PA747420,Vérien,Dominique
PA429842,Primas,Sophie
PA330008,Breton,Xavier
PA721110,Sanquer,Nicole
PA775272,Poncet Monge,Raymonde
PA267450,Delatte,Rémi
PA703515,Imbert,Corinne
PA719790,Chalumeau,Philippe
PA778906,Blandin,Valérie
PA742505,Prince,Jean-Paul
PA266867,Fouché,Alain
PA722398,Rebeyrotte,Rémy
PA267622,Valls,Manuel
PA721134,Lescure,Roland
PA717151,de Sarnez,Marielle
PA775206,Cardon,Rémi
PA429877,Fontaine,Michel
PA721314,Schellenberger,Raphaël
PA703539,Deromedi,Jacky
PA227098,Vanlerenberghe,Jean-Marie
PA758716,Noël,Sylviane
PA1978,Lienemann,Marie-Noëlle
PA716269,Rivollier,Évelyne
PA722320,Lejeune,Christophe
PA606171,Ferrand,Richard
PA736202,Berthet,Martine
PA998,Dassault,Olivier
PA736170,Dindar,Nassimah
PA736240,Raimond-Pavero,Isabelle
PA2870,Vallini,André
PA719676,Ressiguier,Muriel
PA609520,Pompili,Barbara
PA719938,Fesneau,Marc
PA719748,Chalas,Émilie
PA736214,Temal,Rachid
PA330240,Ciotti,Éric
PA1203,Dupont,Jean-Léonce
PA429872,Chiron,Jacques
PA2161,Mercier,Michel
PA304007,Desessard,Jean
PA720268,Damaisin,Olivier
PA719382,Lamirault,Luc
PA767418,Martin,Pascal
PA736226,Louault,Pierre
PA736225,Jomier,Bernard
PA643157,Naillet,Philippe
PA703493,Nougein,Claude
PA1838,Lassalle,Jean
PA720806,Gayte,Laurence
PA303996,Troendlé,Catherine
PA775196,Bourgi,Hussein
PA720996,El Guerrab,M'jid
PA720256,Bannier,Géraldine
PA333421,Pancher,Bertrand
PA720430,Bernalicis,Ugo
PA760658,Chouat,Francis
PA415452,Guillaume,Didier
PA429861,Vincent,Maurice
PA2792,Taugourdeau,Jean-Charles
PA720668,Blairy,Emmanuel
PA721054,Lorion,David
PA736193,Renaud-Garabedian,Évelyne
PA227099,Zocchetto,François
PA721032,Sinaï-Bossou,Carine
PA720182,Cesar,Pascale
PA1942,Lenoir,Jean-Claude
PA736180,Bansard,Jean-Pierre
PA721932,Lorho,Marie-France
PA775214,Dossus,Thomas
PA415499,Patient,Georges
PA719736,Galliard-Minier,Camille
PA719080,Marsaud,Sandra
PA643205,Lang,Anne-Christine
PA717167,Mahjoubi,Mounir
PA429876,Camani,Pierre
PA775282,Salmon,Daniel
PA720664,Evrard,José
PA717379,Maillard,Sylvain
PA720976,Mathiasin,Max
PA334843,Verchère,Patrice
PA721380,Chaudun,Christophe
PA746,Carrez,Gilles
PA722202,Jumel,Sébastien
PA720134,Marquet,Elisabeth
PA775298,Ventalon,Anne
PA748954,Savignat,Antoine
PA719002,Ravier,Julien
PA775198,Bourrat,Toine
PA227027,Didier,Évelyne
PA720720,Poueyto,Josy
PA2074,Marie,Didier
PA856,Cherpion,Gérard
PA721202,Coquerel,Éric
PA719528,Portarrieu,Jean-François
PA605036,Abad,Damien
PA608641,Blein,Yves
PA210741,Leroy,Jean-Claude
PA346218,Masson,Jean-Louis
PA643192,Jourdan,Chantal
PA720846,Lachaud,Bastien
PA606507,Boudié,Florent
PA721344,Bonnell,Bruno
PA736162,Van Heghe,Sabine
PA2197,Milon,Alain
PA719692,Eliaou,Jean-François
PA2528,Reiner,Daniel
PA720054,Haury,Yannick
PA733995,Rauscent,Noëlle
PA235,Adnot,Philippe
PA721800,Matras,Fabien
PA703535,Lemoyne,Jean-Baptiste
PA301592,Schmitz,Alain
PA775258,Muller-Bronn,Laurence
PA722252,Rixain,Marie-Pierre
PA719118,Cormier-Bouligeon,François
PA720146,Masséglia,Denis
PA703520,Estrosi Sassone,Dominique
PA718884,Bazin-Malgras,Valérie
PA719420,Sommer,Denis
PA717268,Pélieu,Michel
PA721254,Muller-Quoy,Isabelle
PA345785,Thomas,Claudine
PA337544,Robert,Didier
PA304000,Lamure,Élisabeth
PA429878,Claireaux,Karine
PA1037,del Picchia,Robert
PA775286,Schalck,Elsa
PA304005,Caffet,Jean-Pierre
PA607595,Pellois,Hervé
PA227108,Bailly,Gérard
PA722228,Leclabart,Jean-Claude
PA719930,Vallaud,Boris
PA703504,Forissier,Michel
PA775290,Stanzione,Lucien
PA719108,Gérard,Raphaël
PA2879,Vasselle,Alain
PA1048,Delebarre,Michel
PA719652,Hammerer,Véronique
PA722000,Buchou,Stéphane
PA722308,Serre,Nathalie
PA267891,Portelli,Hugues
PA429862,Cayeux,Caroline
PA720538,De Temmerman,Jennifer
PA703487,Gabouty,Jean-Marc
PA718850,Cordier,Pierre
PA429889,Rossignol,Laurence
PA721270,Peu,Stéphane
PA227076,Gourault,Jacqueline
PA711156,Rapin,Jean-François
PA722102,Vidal,Annie
PA720422,Quatennens,Adrien
PA720924,Elimas,Nathalie
PA304737,Huré,Benoît
PA721046,Bassire,Nathalie
PA736174,Capus,Emmanuel
PA719504,Lagleize,Jean-Luc
PA719600,Poulliat,Éric
PA304021,Mélot,Colette
PA429894,Bocquet,Éric
PA719578,Prud'homme,Loïc
PA703508,Guillemot,Annie
PA736212,Bargeton,Julien
PA720802,Pujol,Catherine
PA720298,Cariou,Émilie
PA331381,Grosperrin,Jacques
PA719668,Mirallès,Patricia
PA703526,Karam,Antoine
PA736183,Moga,Jean-Pierre
PA775224,Fernique,Jacques
PA722280,Meyer,Philippe
PA1206,Dupont-Aignan,Nicolas
PA775256,Michau,Jean-Jacques
PA718944,Racon-Bouzon,Cathy
PA1617,Haut,Claude
PA631,Boutant,Michel
PA736230,Laugier,Michel
PA778908,Gosselin,Béatrice
PA721640,Beauvais,Bernadette
PA721262,Vuilletet,Guillaume
PA718706,Fontaine-Domeizel,Emmanuelle
PA720772,Bru,Vincent
PA720354,Jacques,Jean-Michel
PA267018,Raison,Michel
PA721466,Le Gendre,Gilles
PA415460,Anziani,Alain
PA205280,Karoutchi,Roger
PA778910,Sévêque,Alain
PA720222,Girardin,Éric
PA267355,Herth,Antoine
PA268019,Lagarde,Jean-Christophe
PA2543,Revet,Charles
PA719592,Simian,Benoit
PA609726,Aubert,Julien
PA736192,Darcos,Laure
PA722082,Ballet-Blu,Françoise
PA722142,Ruffin,François
PA337633,Girardin,Annick
PA1008,David,Alain
PA703527,Vogel,Jean Pierre
PA709315,Viala,Arnaud
PA721498,Guerini,Stanislas
PA703530,Gremillet,Daniel
PA721352,Cazarian,Danièle
PA429846,Béchu,Christophe
PA703536,Jourda,Gisèle
PA720190,Sorre,Bertrand
PA775280,Rojouan,Bruno
PA721542,Verdier-Jouclas,Marie-Christine
PA721218,Charrière,Sylvie
PA429837,Gattolin,André
PA736222,Vullien,Michèle
PA719558,Balanant,Erwan
PA770871,Pantel,Guylène
PA722374,Isaac-Sibille,Cyrille
PA721670,de Montchalin,Amélie
PA718720,Dufrègne,Jean-Paul
PA736239,Puissat,Frédérique
PA922,Cornu,Gérard
PA2774,Sueur,Jean-Pierre
PA429883,Roger,Gilbert
PA774958,Leseul,Gérard
PA720468,Chenu,Sébastien
PA720342,Le Peih,Nicole
PA671,Bricq,Nicole
PA703481,Tocqueville,Nelly
PA720862,Descrozaille,Frédéric
PA1515,Gorce,Gaëtan
PA736168,Guillotin,Véronique
PA720764,Lasserre,Florence
PA267075,Blanc,Étienne
PA304073,Hummel,Christiane
PA775250,Levi,Pierre-Antoine
PA606375,Poumirol,Émilienne
PA719770,Bachelier,Florian
PA607395,Travert,Stéphane
PA429867,Éblé,Vincent
PA720798,Aliot,Louis
PA695100,Habib,Meyer
PA775184,Blanc,Jean-Baptiste
PA719624,Couillard,Bérangère
PA415462,Chatillon,Alain
PA720446,Liso,Brigitte
PA719310,de Lavergne,Célia
PA405480,Pupponi,François
PA513,Bignon,Jérôme
PA550,Bockel,Jean-Marie
PA2337,Patriat,François
PA736165,Lévrier,Martin
PA719072,Mesnier,Thomas
PA429895,Requier,Jean-Claude
PA721844,Piron,Béatrice
PA722336,Thiébaut,Vincent
PA2056,Marc,François
PA722162,Turquois,Nicolas
PA721996,Loiseau,Patrick
PA720512,Pietraszewski,Laurent
PA703510,Canayer,Agnès
PA774311,Bore,Patrick
PA429860,Leconte,Jean-Yves
PA1308,Filleul,Jean-Jacques
PA719632,Panonacle,Sophie
PA785193,Meignen,Thierry
PA703490,Bigot,Jacques
PA719302,Thourot,Alice
PA720124,Amadou,Aude
PA267330,Zumkeller,Michel
PA747422,Perrot,Évelyne
PA719350,Tamarelle-Verhaeghe,Marie
PA415454,Frassa,Christophe-André
PA705750,Morhet-Richaud,Patricia
PA227017,Beaufils,Marie-France
PA429833,Espagnac,Frédérique
PA267233,Bouillon,Christophe
PA736171,Fournier,Catherine
PA706108,Cigolotti,Olivier
PA719914,Darrieussecq,Geneviève
PA720030,Freschi,Alexandre
PA336316,Bouchet,Jean-Claude
PA722236,Djebbari,Jean-Baptiste
PA703501,Kern,Claude
PA719044,Essayan,Nadia
PA736159,Hassani,Abdallah
PA1695,Jacob,Christian
PA721568,Person,Pierre
PA736206,Guidez,Jocelyne
