uid,nom,prenom
PA1029,Deflesselles,Bernard
PA720170,Grandjean,Carole
PA736229,Kerrouche,Éric
PA721094,Dunoyer,Philippe
PA267840,Artano,Stéphane
PA703532,Billon,Annick
PA643089,Thiériot,Jean-Louis
PA775186,Blatrix Contat,Florence
PA772971,André,Catherine
PA721372,Pichereau,Damien
PA721644,Kokouendo,Rodrigue
PA606639,Vignal,Patrick
PA721364,Gauvain,Raphaël
PA783468,El Aaraje,Lamia
PA719942,Baudu,Stéphane
PA227088,Leroy,Philippe
PA719756,Cloarec-Le Nabour,Christine
PA736181,Joly,Patrice
PA336175,Pinel,Sylvia
PA721816,Boucard,Ian
PA334116,Maquet,Jacqueline
PA588886,Le Foll,Stéphane
PA718756,Bono-Vandorme,Aude
PA335999,Batho,Delphine
PA721656,Muschotti,Cécile
PA774956,Hemedinger,Yves
PA429870,Cardoux,Jean-Noël
PA773891,Belrhiti,Catherine
PA429873,Bouchoux,Corinne
PA720022,Lauzzana,Michel
PA508,Biémouret,Gisèle
PA775300,Verzelen,Pierre-Jean
PA721946,Marilossian,Jacques
PA719550,Tanguy,Liliana
PA415451,Laurent,Daniel
PA721666,Audibert,Edith
PA721876,Morenas,Adrien
PA304108,Garriaud-Maylam,Joëlle
PA267241,Demilly,Stéphane
PA719032,Bouyx,Bertrand
PA605963,Alauzet,Éric
PA736235,Delattre,Nathalie
PA722218,Delpirou,Cécile
PA609332,Faure,Olivier
PA304088,Gillot,Jacques
PA718736,Peyrol,Bénédicte
PA2272,Néri,Alain
PA608172,Pires Beaune,Christine
PA415446,Maurey,Hervé
PA703534,Chasseing,Daniel
PA719616,Euzet,Christophe
PA719186,Khattabi,Fadila
PA775254,Merillou,Serge
PA610733,Robert,Thierry
PA429897,Bataille,Delphine
PA721896,Faucillon,Elsa
PA429840,Mohamed Soilihi,Thani
PA703529,Jouve,Mireille
PA720568,Thill,Agnès
PA719608,Ménard,Emmanuelle
PA528,Bizet,Jean
PA775180,Benarroche,Guy
PA1275,Falco,Hubert
PA267340,Darnaud,Mathieu
PA736211,Lavarde,Christine
PA721968,Vialay,Michel
PA722094,Hennion,Christine
PA1630,Herbillon,Michel
PA721564,Fajgeles,Élise
PA775236,Hingray,Jean
PA429855,Antiste,Maurice
PA333285,Garot,Guillaume
PA429836,Cohen,Laurence
PA736190,Carrère,Maryse
PA304018,Billout,Michel
PA736166,de la Provôté,Sonia
PA721908,Braun-Pivet,Yaël
PA719146,Acquaviva,Jean-Félix
PA736215,Dagbert,Michel
PA1562,Grosdidier,François
PA718784,Pauget,Éric
PA703538,Durain,Jérôme
PA606212,Collard,Gilbert
PA429864,Bailly,Dominique
PA429869,Delahaye,Vincent
PA736218,Duplomb,Laurent
PA607619,Molac,Paul
PA774935,Tubiana,Danielle
PA1344,Fournier,Bernard
PA721506,Kuster,Brigitte
PA775244,Kulimoetoke,Mikaele
PA304085,Cambon,Christian
PA429838,Vandierendonck,René
PA334654,Straumann,Éric
PA703482,Vaspart,Michel
PA330788,Reynès,Bernard
PA736201,Taillé-Polian,Sophie
PA722382,Dirx,Benjamin
PA304109,Kammermann,Christiane
PA429849,Namy,Christian
PA736220,Lagourgue,Jean-Louis
PA736160,Delmont-Koropoulis,Annie
PA429890,Bertrand,Alain
PA429857,Aïchi,Leila
PA719918,Lainé,Fabien
PA415480,Vall,Raymond
PA719980,Borowczyk,Julien
PA608083,Bourguignon,Brigitte
PA716367,de Rose,Marie-France
PA721538,Roques-Etienne,Muriel
PA720822,Bilde,Bruno
PA775268,Pla,Sebastien
PA721070,Ramassamy,Nadia
PA720074,Janvier,Caroline
PA303992,Keller,Fabienne
PA342196,Rouaux,Claudia
PA719814,Colboc,Fabienne
PA720362,Belhaddad,Belkhir
PA736219,Artigalas,Viviane
PA429852,Vaugrenard,Yannick
PA721984,Latombe,Philippe
PA702054,Claireaux,Stéphane
PA267766,Bricout,Guy
PA722300,Khedher,Anissa
PA331835,Iborra,Monique
PA720488,Six,Valérie
PA708632,Mercier,Marie
PA2905,Vial,Jean-Pierre
PA429848,Tandonnet,Henri
PA721174,Son-Forget,Joachim
PA643210,Lecornu,Sébastien
PA266812,Dennemont,Michel
PA415473,Giudicelli,Colette
PA267260,Poletti,Bérengère
PA775174,Bacci,Jean
PA736189,Marchand,Frédéric
PA703496,Rachline,David
PA722178,Maire,Jacques
PA720952,Taché,Aurélien
PA736196,Wattebled,Dany
PA721916,Pouzyreff,Natalia
PA736241,Jacquin,Olivier
PA429845,Dantec,Ronan
PA721142,Forteza,Paula
PA429851,Savary,René-Paul
PA719294,Clapot,Mireille
PA736221,Leroux,Sébastien
PA267318,Grelier,Jean-Carles
PA223837,Brochand,Bernard
PA721632,Lemoine,Patricia
PA608292,Dubié,Jeanine
PA722194,Provendier,Florence
PA345722,Le Grip,Constance
PA721286,Ramadier,Alain
PA721576,Bouchet Bellecourt,Sylvie
PA775232,Guiol,André
PA736216,Brisson,Max
PA270,André,Michèle
PA720516,Morlighem,Florence
PA415448,de Montgolfier,Albéric
PA721486,Naegelen,Christophe
PA719882,Meynier-Millefert,Marjolaine
PA429853,Vendegou,Hilarion
PA736188,Bazin,Arnaud
PA785857,Vogel,Mélanie
PA721118,Brotherson,Moetai
PA415484,Mazuir,Rachel
PA429871,Favier,Christian
PA267795,Leleux,Jean-Pierre
PA718868,Larive,Michel
PA2420,Pintat,Xavier
PA722030,Bournazel,Pierre-Yves
PA736198,Bonfanti-Dossat,Christine
PA313924,Pointereau,Rémy
PA720480,Parmentier-Lecocq,Charlotte
PA720100,Pradié,Aurélien
PA775262,Parigi,Paul Toussaint
PA703503,de Nicolaÿ,Louis-Jean
PA429885,Placé,Jean-Vincent
PA775182,Bilhac,Christian
PA720692,Roussel,Fabien
PA720154,Dubré-Chirat,Nicole
PA703537,Lopez,Vivette
PA708633,Féret,Corinne
PA720386,Di Filippo,Fabien
PA789593,Ract-Madoux,Daphné
PA721960,Obono,Danièle
PA588884,Autain,Clémentine
PA718780,Trastour-Isnart,Laurence
PA2552,Richard,Alain
PA722126,Chiche,Guillaume
PA703506,Duranton,Nicole
PA2237,Morisset,Jean-Marie
PA342665,Bonne,Bernard
PA721784,Gomez-Bassac,Valérie
PA720870,Mbaye,Jean François
PA2200,Miquel,Gérard
PA775170,Arnaud,Jean-Michel
PA736176,Bories,Pascale
PA718990,Blanc,Anne
PA720684,Dumont,Pierre-Henri
PA266793,Bony,Jean-Yves
PA709298,Delcros,Bernard
PA719194,de Courson,Yolaine
PA720728,Mattei,Jean-Paul
PA719372,Kasbarian,Guillaume
PA340343,Saulignac,Hervé
PA775210,Cozic,Thierry
PA304076,Pierre,Jackie
PA429893,Carvounas,Luc
PA775276,Rietmann,Olivier
PA718918,Louis,Alexandra
PA643184,Klinkert,Brigitte
PA757678,Segouin,Vincent
PA772973,Cabaret,Muriel
PA2449,Pont,Jean-Pierre
PA722240,Venteau,Pierre
PA604,Bouley,Bernard
PA736238,Hugonet,Jean-Raymond
PA736205,Jourda,Muriel
PA721584,Terlier,Jean
PA429859,Vergoz,Michel
PA1744,Joyandet,Alain
PA718710,Boyer,Pascale
PA775172,Bacchi,Jérémy
PA719210,Joncour,Bruno
PA1667,Hue,Robert
PA713448,Brenier,Marine
PA756685,Brulin,Céline
PA736200,Piednoir,Stéphane
PA736161,Jasmin,Victoire
PA429884,Capo-Canellas,Vincent
PA605518,Lambert,François-Michel
PA606675,André,François
PA772756,Cardenes,Stéphane
PA736210,Lanfranchi Dorgal,Christine
PA766947,Gillé,Hervé
PA1476,Gillot,Dominique
PA343493,Rouillard,Gwendal
PA335758,Riester,Franck
PA776983,Evrard,Marie-Agnès
PA563,Bompard,Jacques
PA719130,Michel-Brassart,Monica
PA415495,Houpert,Alain
PA721434,Lardet,Frédérique
PA429854,Charon,Pierre
PA267042,Favennec-Bécot,Yannick
PA721126,Guion-Firmin,Claire
PA721158,Anglade,Pieyre-Alexandre
PA788192,Gacquerre,Amel
PA267324,Gaultier,Jean-Jacques
PA2150,Mélenchon,Jean-Luc
PA415485,Bérit-Débat,Claude
PA605084,Krabal,Jacques
PA2776,Sutour,Simon
PA608741,Tolmont,Sylvie
PA215169,Campion,Claire-Lise
PA607155,Daniel,Yves
PA227089,Létard,Valérie
PA719318,Anthoine,Emmanuelle
PA267673,Folliot,Philippe
PA415449,Lozach,Jean-Jacques
PA1779,Labazée,Georges
PA720622,Bureau-Bonnard,Carole
PA429841,Watrin,Dominique
PA2492,Quentin,Didier
PA610681,Bareigts,Ericka
PA718902,Roussel,Cédric
PA719052,Kervran,Loïc
PA718768,Valetta Ardisson,Alexandra
PA607489,Chevrollier,Guillaume
PA429835,Conway-Mouret,Hélène
PA736191,Féraud,Rémi
PA721442,Petex-Levet,Christelle
PA722268,Wonner,Martine
PA2027,Madrelle,Philippe
PA712014,Ledoux,Vincent
PA719138,Castellani,Michel
PA429881,Archimbaud,Aline
PA642935,Becht,Olivier
PA608016,Louwagie,Véronique
PA429875,Husson,Jean-François
PA720610,Houplain,Myriane
PA736169,Eustache-Brinio,Jacqueline
PA775260,Paoli-Gagin,Vanina
PA719272,Meunier,Frédérique
PA429847,Jouanno,Chantal
PA1573,Guérini,Jean-Noël
PA415475,Blondin,Maryvonne
PA303994,Sittler,Esther
PA2790,Tasca,Catherine
PA721808,Crouzet,Michèle
PA905,Collin,Yvon
PA336439,Clément,Jean-Michel
PA774380,Einaudi,Michèle
PA267735,de Ganay,Claude
PA1198,Dumont,Laurence
PA720066,Rist,Stéphanie
PA736197,de Cidrac,Marta
PA703541,Pellevat,Cyril
PA720278,Orphelin,Matthieu
PA719242,Moreau,Jean-Baptiste
PA2538,Retailleau,Bruno
PA732420,Costes,Josiane
PA721690,Tan,Buon
PA736224,Menonville,Franck
PA737,Carle,Jean-Claude
PA608826,Duby-Muller,Virginie
PA703533,Lalande,Bernard
PA772758,Schoeller,Marie-Noëlle
PA721194,Dumas,Frédérique
PA944,Courteau,Roland
PA1592,Habib,David
PA429863,Lasserre,Jean-Jacques
PA775252,de Marco,Monique
PA732419,Devinaz,Gilbert-Luc
PA736184,Saint-Pé,Denise
PA720394,Trisse,Nicole
PA719728,Le Bohec,Gaël
PA720198,Galbadon,Grégory
PA382672,Goulet,Nathalie
PA720014,Tiegna,Huguette
PA720960,Serva,Olivier
PA722366,Fugit,Jean-Luc
PA719006,Le Vigoureux,Fabrice
PA335532,Pau-Langevin,George
PA719822,Thillaye,Sabine
PA1276,Fanget,Michel
PA703505,Raynal,Claude
PA720968,Benin,Justine
PA719850,Motin,Cendra
PA721852,Lebec,Marie
PA763158,Richer,Marie-Pierre
PA719408,Havet,Nadège
PA2952,Warsmann,Jean-Luc
PA331481,Le Maire,Bruno
PA304086,Procaccia,Catherine
PA267081,Gruny,Pascale
PA719326,Gipson,Séverine
PA721560,Griveaux,Benjamin
PA722110,Wulfranc,Hubert
PA304010,Dominati,Philippe
PA415492,Fournier,Jean-Paul
PA718876,Besson-Moreau,Grégory
PA703512,Monier,Marie-Pierre
PA736208,Rambaud,Didier
PA2258,Nachbar,Philippe
PA2111,Masseret,Jean-Pierre
PA736248,Houllegatte,Jean-Michel
PA718744,Bagarry,Delphine
PA304113,Yung,Richard
PA720888,Taillebois,Sarah
PA341381,Longeot,Jean-François
PA266808,Rolland,Vincent
PA736179,Théophile,Dominique
PA775202,Burgoa,Laurent
PA736217,Tissot,Jean-Claude
PA642695,Bothorel,Éric
PA719664,Lavergne,Pascal
PA720672,Therry,Robert
PA703511,Robert,Sylvie
PA718810,Robert,Mireille
PA721768,Silin,Marie
PA1527,Gournac,Alain
PA721674,Atger,Stéphanie
PA426327,Reichardt,André
PA719778,Jolivet,François
PA719520,Nogal,Mickaël
PA775302,Vial,Cédric
PA716,Calvet,François
PA415468,Ghali,Samia
PA267785,Larrivé,Guillaume
PA718978,Laqhila,Mohamed
PA774313,Garcia,Danièle
PA267429,Cinieri,Dino
PA267585,Vercamer,Francis
PA703106,Malherbe,Hermeline
PA721522,Batut,Xavier
PA719740,Colas-Roy,Jean-Charles
PA720892,Panot,Mathilde
PA720576,Bois,Pascal
PA775288,Somon,Laurent
PA643145,Vainqueur-Christophe,Hélène
PA1142,Doligé,Éric
PA429888,Magner,Jacques-Bernard
PA267801,Jégo,Yves
PA775212,Demas,Patricia
PA2042,Malhuret,Claude
PA720916,Lazaar,Fiona
PA736186,Le Gleut,Ronan
PA720988,Manin,Josette
PA720246,Templier,Sylvain
PA775274,Redon-Sarrazy,Christian
PA719640,Mette,Sophie
PA703500,Bouchet,Gilbert
PA605069,Bricout,Jean-Louis
PA736243,Ouzoulias,Pierre
PA784314,Leclercq,Christophe
PA703522,Bonhomme,François
PA266774,Furst,Laurent
PA672,Bridey,Jean-Jacques
PA736242,Léonhardt,Olivier
PA720944,Park,Zivka
PA722118,Sylla,Sira
PA703485,Ravier,Stéphane
PA1122,Détraigne,Yves
PA415483,Daudigny,Yves
PA721458,Roseren,Xavier
PA267328,Perrin,Cédric
PA369,Baroin,François
PA703513,Chaize,Patrick
PA720696,Descamps,Béatrice
PA719330,Gouttefarde,Fabien
PA775248,Le Rudulier,Stéphane
PA736175,Savoldelli,Pascal
PA736178,de Belenet,Arnaud
PA267780,Firmin Le Bodo,Agnès
PA721616,Rupin,Pacôme
PA719230,Kerlogot,Yannick
PA720908,Moutchou,Naïma
PA642847,Bazin,Thibault
PA1828,Larcher,Gérard
PA736244,Boulay-Espéronnier,Céline
PA736237,Sollogoub,Nadia
PA590034,Carlotti,Marie-Arlette
PA720002,El Haïry,Sarah
PA605991,Genevard,Annie
PA736172,Chauvin,Marie-Christine
PA610654,Nilor,Jean-Philippe
PA719218,Berville,Hervé
PA415464,Laborde,Françoise
PA718694,Delatte,Marc
PA2023,Madec,Roger
PA1001,Daubresse,Marc-Philippe
PA1498,Goasguen,Claude
PA602,Boulard,Jean-Claude
PA736232,Janssens,Jean-Marie
PA304090,Larcher,Serge
PA719258,Delpon,Michel
PA719092,Tuffnell,Frédérique
PA721608,Bourlanges,Jean-Louis
PA720586,Vatin,Pierre
PA719570,Fabre,Catherine
PA304002,Assouline,David
PA441,Bello,Huguette
PA718802,Perea,Alain
PA642756,Harribey,Laurence
PA721438,Rey,Jacques
PA736173,Gréaume,Michelle
PA609245,Lacroute,Valérie
PA2960,Woerth,Éric
PA719830,Démoulin,Nicolas
PA721726,Mauborgne,Sereine
PA303997,Buffet,François-Noël
PA774962,Lebon,Karine
PA415489,Mayet,Jean-François
PA719890,Brulebois,Danielle
PA720116,Brunet,Anne-France
PA643004,Labille,Grégory
PA227097,Trillard,André
PA610634,Azerot,Bruno Nestor
PA267907,Grand,Jean-Pierre
PA775266,Phinera-Horth,Marie-Laure
PA720738,Michels,Thierry
PA227019,Blandin,Marie-Christine
PA721760,Gatel,Maud
PA703523,Loisier,Anne-Catherine
PA719684,Dubost,Coralie
PA720046,Dufeu,Audrey
PA1993,Longuet,Gérard
PA678263,Laurent,Pierre
PA736209,Préville,Angèle
PA720644,Nury,Jérôme
PA721150,Holroyd,Alexandre
PA720598,Deprez-Audebert,Marguerite
PA722358,Gassilloud,Thomas
PA429879,Esnol,Philippe
PA267527,Saddier,Martial
PA720746,Waserman,Sylvain
PA720680,Loquet,Ludovic
PA736247,Babary,Serge
PA736167,de la Gontrie,Marie-Pierre
PA702993,Kanner,Patrick
PA429834,Duchêne,Marie-Annick
PA733,Carcenac,Thierry
PA703521,Panunzi,Jean-Jacques
PA720286,Fiat,Caroline
PA722070,Henriet,Pierre
PA720520,Cattelot,Anne-Laure
PA719946,Peltier,Guillaume
PA267440,Diard,Éric
PA642788,Véran,Olivier
PA2155,Menuel,Gérard
PA342154,Commeinhes,François
PA346876,Solère,Thierry
PA774954,Blin,Anne-Laure
PA340853,Leclerc,Sébastien
PA721004,Lakrafi,Amélia
PA736231,Boyer,Jean-Marc
PA721130,Jacques,Micheline
PA429865,Kaltenbach,Philippe
PA703528,Cabanel,Henri
PA719512,Vignon,Corinne
PA341406,Bourquin,Martial
PA608416,Hetzel,Patrick
PA429886,Cukierman,Cécile
PA415455,Magras,Michel
PA721880,Guévenoux,Marie
PA759192,Poudroux,Jean-Luc
PA642858,Lefebvre,Nadège
PA722150,Houlié,Sacha
PA227024,David,Annie
PA2640,Roustan,Max
PA719412,Le Feur,Sandrine
PA1012,de la Verpillière,Charles
PA651963,Lipietz,Hélène
PA721992,Gallerneau,Patricia
PA722022,Romeiro Dias,Laëtitia
PA304017,Morin-Desailly,Catherine
PA332228,Benoit,Thierry
PA719100,Ardouin,Jean-Philippe
PA606202,Dumas,Françoise
PA610775,Gomès,Philippe
PA415459,Cartron,Françoise
PA721710,Peyron,Michèle
PA758431,Regnard,Damien
PA719842,Laabid,Mustapha
PA721734,Michel-Kleisbauer,Philippe
PA720590,Potterie,Benoit
PA703517,Micouleau,Brigitte
PA719388,Le Meur,Annaïg
PA703495,Roux,Jean-Yves
PA267378,Levy,Geneviève
PA267512,Marc,Alain
PA720318,Zannier,Hélène
PA304062,Dubois,Daniel
PA2529,Reitzer,Jean-Luc
PA719170,Charvier,Fannette
PA607090,Vigier,Jean-Pierre
PA721246,Gaillot,Albane
PA721976,Millienne,Bruno
PA722090,Pételle,Bénédicte
PA707707,Laurey,Nuihau
PA268040,Cornano,Jacques
PA227083,Herviaux,Odette
PA722244,Magne,Marie-Ange
PA719700,Huppé,Philippe
PA609590,Rabault,Valérie
PA608011,Pueyo,Joaquim
PA721792,Guerel,Émilie
PA721278,Anato,Patrice
PA721210,Corbière,Alexis
PA703519,Amiel,Michel
PA607193,Errante,Sophie
PA703531,Castelli,Joseph
PA720900,Rilhac,Cécile
PA775178,Bellurot,Nadine
PA719922,Causse,Lionel
PA721636,Parigi,Jean-François
PA267112,Deseyne,Chantal
PA703494,Di Folco,Catherine
PA360,Barbier,Gilbert
PA775240,Joseph,Else
PA720438,Di Pompeo,Christophe
PA429887,Guerriau,Joël
PA303995,Schillinger,Patricia
PA429882,Desplan,Félix
PA719952,Mis,Jean-Michel
PA642764,Aviragnet,Joël
PA703491,Tourenne,Jean-Louis
PA331567,de La Raudière,Laure
PA721012,Kéclard-Mondésir,Manuéla
PA775296,Varaillas,Marie-Claude
PA775188,Bonneau,François
PA736194,Meurant,Sébastien
PA720242,Abba,Bérangère
PA2613,Rome,Yves
PA2360,Percheron,Daniel
PA2444,Poncelet,Christian
PA334149,Fasquelle,Daniel
PA266776,Reiss,Frédéric
PA1019,Debré,Isabelle
PA721384,Fontenel-Personne,Pascale
PA304015,Pozzo di Borgo,Yves
PA736223,Henno,Olivier
PA406065,Pillet,François
PA677483,Mazars,Stéphane
PA1960,Leroy,Maurice
PA702052,Sage,Maina
PA775176,Belin,Bruno
PA744079,Bascher,Jérôme
PA775234,Haye,Ludovic
PA721860,Cesarini,Jean-François
PA722078,Savatier,Jacques
PA719464,Nadot,Sébastien
PA330684,Boyer,Valérie
PA330357,Dussopt,Olivier
PA719710,David,Dominique
PA331582,Vigier,Philippe
PA718674,Givernet,Olga
PA267872,Pemezec,Philippe
PA721864,Zitouni,Souad
PA721764,Grégoire,Olivia
PA332747,de Rugy,François
PA415467,de Legge,Dominique
PA267762,Decool,Jean-Pierre
PA721410,Bonnivard,Émilie
PA2447,Poniatowski,Ladislas
PA718954,Ahamada,Saïd
PA775220,Dumont,Françoise
PA721600,Rossi,Laurianne
PA722344,Julien-Laferrière,Hubert
PA721024,Genetet,Anne
PA719660,Dubos,Christelle
PA722046,Bergé,Aurore
PA643103,Ferrara,Jean-Jacques
PA720928,Corceiro,David
PA2371,Perol-Dumont,Marie-Françoise
PA721036,Adam,Lénaïck
