acteurRef,scrutin,nom,libelleAbrev
PA719608,232,Ménard,NI
PA720630,73,Minot,LR
PA721816,56,Boucard,LR
PA642847,45,Bazin,LR
PA267429,42,Cinieri,LR
PA719318,39,Anthoine,LR
PA793476,35,Dubois,LR
PA722390,34,Corneloup,LR
PA793508,33,Brigand,LR
PA342240,33,Bourgeaux,LR
PA795244,32,Lenormand,LIOT
PA643134,31,Valentin,LR
PA608016,25,Louwagie,LR
PA1206,25,Dupont-Aignan,NI
PA722308,25,Serre,LR
PA721486,25,Naegelen,LIOT
PA718850,24,Cordier,LR
PA718784,24,Pauget,LR
PA266793,23,Bony,LR
PA608826,22,Duby-Muller,LR
PA332523,22,Dalloz,LR
PA346782,21,Juvin,LR
PA330008,21,Breton,LR
PA721442,20,Petex,LR
PA721410,20,Bonnivard,LR
PA794058,19,Gruet,LR
PA607619,18,Molac,LIOT
PA721046,18,Bassire,LIOT
PA607090,18,Vigier,LR
PA794038,18,Neuder,LR
PA330909,18,Descoeur,LR
PA346054,17,Maquet,LR
PA720386,17,Di Filippo,LR
PA267766,16,Bricout,LIOT
PA309643,15,Besse,NI
PA718884,14,Bazin-Malgras,LR
PA719024,14,Blanchet,DEM
PA774954,14,Blin,LR
PA795926,14,Pellerin,RE
PA794178,13,Taite,LR
PA606098,13,Marleix,LR
PA720586,13,Vatin,LR
PA1874,12,Le Fur,LR
PA720644,12,Nury,LR
PA608416,11,Hetzel,LR
PA1008,11,David,SOC
PA720976,11,Mathiasin,LIOT
PA783457,11,Habert-Dassault,LR
PA793094,11,Ray,LR
PA793342,11,Martin (Alpes-Maritimes),LR
PA266797,11,Gosselin,LR
PA794994,11,Portier,LR
PA795998,11,K/Bidi,GDR-NUPES
PA605991,10,Genevard,LR
PA794410,10,Seitlinger,LR
PA712015,10,Dive,LR
PA719640,9,Mette,DEM
PA720684,9,Dumont,LR
PA720696,9,Descamps,LIOT
PA793520,9,Cosson,DEM
PA643143,9,Baptiste,SOC
PA721984,9,Latombe,DEM
PA605069,9,Bricout,LIOT
PA332228,9,Benoit,HOR
PA942,8,de Courson,LIOT
PA795762,8,Califer,SOC
PA330240,8,Ciotti,LR
PA774958,8,Leseul,SOC
PA721828,8,Berete,RE
PA794702,8,Lingemann,DEM
PA720038,8,Josso,DEM
PA342196,8,Rouaux,SOC
PA720932,8,Da Silva,RE
PA796078,8,Youssouffa,LIOT
PA342415,8,Battistel,SOC
PA793780,7,Arrighi,ECOLO
PA608172,7,Pires Beaune,SOC
PA720334,7,Pahun,DEM
PA794094,7,Bouloux,SOC
PA793796,7,Taupiac,LIOT
PA722102,7,Vidal,RE
PA793416,7,Sertin,RE
PA267901,7,Kamardine,LR
PA794510,7,Decodts,RE
PA721522,7,Batut,RE
PA721474,7,Viry,LR
PA794458,7,Etienne,LFI-NUPES
PA719382,7,Lamirault,HOR
PA795120,7,Ferrari,DEM
PA718838,7,Brun,LR
PA795270,7,Poussier-Winsback,HOR
PA793572,6,Plassard,HOR
PA267336,6,Giraud,RE
PA607553,6,Potier,SOC
PA793270,6,Rousset,RE
PA793190,6,Heydel Grillere,RE
PA719778,6,Jolivet,HOR
PA795406,6,Périgault,LR
PA719512,6,Vignon,RE
PA795528,6,Rodwell,RE
PA721710,6,Peyron,RE
PA719968,6,Bonnet,LR
PA795636,6,Lucas-Lundy,ECOLO
PA795664,6,Midy,RE
PA795908,6,Chenevard,RE
PA642868,6,Christophe,HOR
PA719550,6,Tanguy,RE
PA794626,6,Saint-Huile,LIOT
PA795100,6,Martineau,DEM
PA719138,6,Castellani,LIOT
PA719286,6,Colombani,LIOT
PA794206,6,Marion,RE
PA794234,6,Gernigon,HOR
PA794818,6,Kochert,HOR
PA719272,6,Meunier,LR
PA794138,6,Amiot,LFI-NUPES
PA793708,5,Peytavie,ECOLO
PA795820,5,Nadeau,GDR-NUPES
PA721632,5,Lemoine,RE
PA794270,5,Pic,SOC
PA795844,5,Erodi,LFI-NUPES
PA721170,5,Vojetta,RE
PA794386,5,Métayer,RE
PA720720,5,Poueyto,DEM
PA817211,5,Pilato,LFI-NUPES
PA720362,5,Belhaddad,RE
PA794194,5,Desjonquères,DEM
PA722292,5,Rudigoz,RE
PA722054,5,Hai,RE
PA795454,5,Ben Cheikh,ECOLO
PA793624,5,Brun,SOC
PA794146,5,Laernoes,ECOLO
PA795374,5,Lecamp,DEM
PA793122,5,Daubié,DEM
PA794778,5,Regol,ECOLO
PA793210,5,Panifous,LIOT
PA794114,5,Mandon,DEM
PA794426,5,Le Hénanff,HOR
PA793500,5,Bordat,RE
PA794830,5,Ott,DEM
PA793860,5,Zgainski,DEM
PA794870,5,Ferrer,LFI-NUPES
PA720342,5,Le Peih,RE
PA793174,5,Monnet,GDR-NUPES
PA719032,5,Bouyx,RE
PA643192,5,Jourdan,SOC
PA610654,5,Nilor,LFI-NUPES
PA642695,5,Bothorel,RE
PA719890,5,Brulebois,RE
PA719874,5,Jacquier-Laforge,DEM
PA793452,4,Davi,LFI-NUPES
PA721760,4,Gatel,DEM
PA721182,4,Petit,DEM
PA719672,4,Sorez,RE
PA2449,4,Pont,RE
PA794914,4,Vincendet,LR
PA794802,4,Sitzenstuhl,RE
PA791812,4,Chikirou,LFI-NUPES
PA794786,4,Fernandes,LFI-NUPES
PA794470,4,Gérard,HOR
PA719108,4,Gérard,RE
PA794402,4,Leduc,LFI-NUPES
PA719146,4,Acquaviva,LIOT
PA793560,4,Babault,DEM
PA794330,4,Brosse,RE
PA721976,4,Millienne,DEM
PA721024,4,Genetet,RE
PA793980,4,Fournier,ECOLO
PA793948,4,Thierry,ECOLO
PA793912,4,Carrière,LFI-NUPES
PA719396,4,Larsonneur,HOR
PA333421,4,Pancher,LIOT
PA793716,4,Croizier,DEM
PA719528,4,Portarrieu,HOR
PA795176,4,Metzdorf,RE
PA720222,4,Girardin,RE
PA793194,4,Vuibert,RE
PA795508,4,Chandler,RE
PA720154,4,Dubré-Chirat,RE
PA795746,4,Léaument,LFI-NUPES
PA720146,4,Masséglia,RE
PA795652,4,Izard,RE
PA720560,4,Goulet,DEM
PA720772,4,Bru,DEM
PA720446,4,Liso,RE
PA795934,4,Guichard,RE
PA712014,4,Ledoux,RE
PA720952,4,Taché,ECOLO
PA805166,4,Bergantz,DEM
PA720960,4,Serva,LIOT
PA719632,3,Panonacle,RE
PA793816,3,Thomin,SOC
PA794004,3,Hugues,RE
PA795730,3,Marchive,RE
PA822617,3,Froger,LIOT
PA793278,3,Agresti-Roubache,RE
PA793394,3,Delaporte,SOC
PA720230,3,Magnier,HOR
PA793444,3,Bompard,LFI-NUPES
PA695100,3,Habib,LR
PA643175,3,Dupont,RE
PA719600,3,Poulliat,RE
PA793792,3,Esquenet-Goxes,DEM
PA719472,3,Cazeneuve,RE
PA793744,3,Stambach-Terrenoir,LFI-NUPES
PA793736,3,Clouet,LFI-NUPES
PA794008,3,Chatelain,ECOLO
PA796010,3,Maillot,GDR-NUPES
PA795982,3,Saintoul,LFI-NUPES
PA1327,3,Forissier,LR
PA793724,3,Sala,LFI-NUPES
PA795258,3,Gumbs,DEM
PA267324,3,Gaultier,LR
PA794106,3,Taurinya,LFI-NUPES
PA795216,3,Lovisolo,RE
PA795266,3,Carel,HOR
PA795136,3,Coulomme,LFI-NUPES
PA795058,3,Bayou,ECOLO
PA795050,3,Panosyan-Bouvet,RE
PA795278,3,Bellamy,HOR
PA794982,3,Delpech,RE
PA794878,3,Mournet,RE
PA794854,3,Echaniz,SOC
PA794810,3,Morel,DEM
PA795386,3,Lefèvre,RE
PA719798,3,Labaronne,RE
PA794658,3,Fait,RE
PA794650,3,Tellier,GDR-NUPES
PA719052,3,Kervran,HOR
PA719100,3,Ardouin,RE
PA794494,3,Vicot,SOC-A
PA717379,3,Maillard,RE
PA719118,3,Cormier-Bouligeon,RE
PA266808,3,Rolland,LR
PA795580,3,Chauche,LFI-NUPES
PA795604,3,Folest,DEM
PA719202,3,Paris,RE
PA719266,3,Cubertafon,DEM
PA795228,3,Abomangoli,LFI-NUPES
PA719294,3,Clapot,RE
PA643089,3,Thiériot,LR
PA720022,3,Lauzzana,RE
PA722110,3,Wulfranc,GDR-NUPES
PA720006,3,Geismar,DEM
PA335612,3,Lecoq,GDR-NUPES
PA721482,3,Valence,RE
PA721678,3,Reda,RE
PA721466,3,Le Gendre,RE
PA720862,3,Descrozaille,RE
PA722202,3,Jumel,GDR-NUPES
PA605745,3,Sansu,GDR-NUPES
PA335054,3,Karamanli,SOC
PA720354,3,Jacques,RE
PA722150,3,Houlié,RE
PA719914,3,Darrieussecq,DEM
PA720138,3,Saint-Paul,RE
PA719882,3,Meynier-Millefert,RE
PA722134,3,Fiévet,RE
PA721584,3,Terlier,RE
PA721118,3,Brotherson,GDR-NUPES
PA719910,3,Belhamiti,RE
PA719822,3,Thillaye,DEM
PA334116,3,Maquet,RE
PA720728,3,Mattei,DEM
PA722070,3,Henriet,RE
PA721844,3,Piron,RE
PA721852,3,Lebec,RE
PA721202,3,Coquerel,LFI-NUPES
PA719922,2,Causse,RE
PA677483,2,Mazars,RE
PA720480,2,Parmentier-Lecocq,RE
PA267042,2,Favennec-Bécot,LIOT
PA719918,2,Lainé,DEM
PA719190,2,Frei,RE
PA795350,2,Valletoux,HOR
PA721314,2,Schellenberger,LR
PA345722,2,Le Grip,RE
PA720430,2,Bernalicis,LFI-NUPES
PA720838,2,Bourouaha,GDR-NUPES
PA718926,2,Dharréville,GDR-NUPES
PA795026,2,Violland,HOR
PA721210,2,Corbière,LFI-NUPES
PA794974,2,Margueritte,RE
PA794938,2,Boumertit,LFI-NUPES
PA721234,2,Petit,DEM
PA794906,2,Amard,LFI-NUPES
PA795616,2,Bilongo,LFI-NUPES
PA718930,2,Petel,RE
PA795108,2,Leboucher,LFI-NUPES
PA794846,2,Goetschy-Bolognese,RE
PA794838,2,Lemaire,HOR
PA718978,2,Laqhila,DEM
PA344201,2,Petit,SOC
PA340343,2,Saulignac,SOC
PA795688,2,Emmanuel,RE
PA718910,2,Colomb-Pitollat,RE
PA609520,2,Pompili,RE
PA795144,2,Armand,RE
PA795184,2,Le Gayic,GDR-NUPES
PA795156,2,Keloua Hachi,SOC
PA720190,2,Sorre,RE
PA793588,2,Pacquot,RE
PA719558,2,Balanant,DEM
PA796018,2,Simonnet,LFI-NUPES
PA720100,2,Pradié,LR
PA796070,2,Gaillard,LFI-NUPES
PA720174,2,Guillemard,RE
PA610002,2,Sas,ECOLO
PA267794,2,Tabarot,LR
PA720992,2,William,GDR-NUPES
PA817203,2,Miller,RE
PA793644,2,Leclercq,DEM
PA643157,2,Naillet,SOC
PA719664,2,Lavergne,RE
PA793322,2,D'Intorni,LR
PA719814,2,Colboc,RE
PA791824,2,Legrain,LFI-NUPES
PA793262,2,Alexandre,LFI-NUPES
PA720092,2,Ramos,DEM
PA2960,2,Woerth,RE
PA719756,2,Le Nabour,RE
PA340643,2,Royer-Perreaut,RE
PA1630,2,Herbillon,LR
PA794130,2,Kerbrat,LFI-NUPES
PA718710,2,Boyer,RE
PA794118,2,Vermorel-Marques,LR
PA721916,2,Pouzyreff,RE
PA795068,2,Chassaniol,RE
PA794066,2,Mathieu,LFI-NUPES
PA643184,2,Klinkert,RE
PA794022,2,Iordanoff,ECOLO
PA793992,2,Alfandari,HOR
PA795920,2,Thevenot,RE
PA793872,2,Oziol,LFI-NUPES
PA722162,2,Turquois,DEM
PA795430,2,Delautrette,SOC
PA722284,2,Fuchs,DEM
PA722336,2,Thiébaut,HOR
PA722366,2,Fugit,RE
PA721062,2,Ratenon,LFI-NUPES
PA719488,2,Berta,DEM
PA793688,2,Martin,LFI-NUPES
PA720754,2,Studer,RE
PA720900,1,Rilhac,RE
PA795482,1,Meunier,LFI-NUPES
PA795422,1,Maudet,LFI-NUPES
PA795808,1,Sebaihi,ECOLO
PA795588,1,Amrani,LFI-NUPES
PA795596,1,Vannier,LFI-NUPES
PA720256,1,Bannier,DEM
PA796106,1,Bénard,GDR-NUPES
PA796090,1,Caron,LFI-NUPES
PA796062,1,Portes,LFI-NUPES
PA720162,1,Bolo,DEM
PA795990,1,Bregeon,RE
PA605963,1,Alauzet,RE
PA795958,1,Haddad,RE
PA795950,1,Amiel,RE
PA720422,1,Quatennens,NI
PA1567,1,Guedj,SOC
PA795884,1,Ferracci,RE
PA795868,1,Castor,GDR-NUPES
PA795864,1,Cazeneuve,RE
PA795828,1,Hajjar,SOC
PA795774,1,Dordain,RE
PA795722,1,Olive,RE
PA795692,1,Martinet,LFI-NUPES
PA642764,1,Aviragnet,SOC
PA795362,1,Belluco,ECOLO
PA793110,1,Walter,LFI-NUPES
PA795310,1,Guetté,LFI-NUPES
PA794154,1,Raux,ECOLO
PA719338,1,Melchior,RE
PA719372,1,Kasbarian,RE
PA719388,1,Le Meur,RE
PA267306,1,Chassaigne,GDR-NUPES
PA722142,1,Ruffin,LFI-NUPES
PA793876,1,Cristol,RE
PA719412,1,Le Feur,RE
PA722358,1,Gassilloud,RE
PA722374,1,Isaac-Sibille,DEM
PA793680,1,Couturier,LFI-NUPES
PA793664,1,Pochon,ECOLO
PA722382,1,Dirx,RE
PA333285,1,Garot,SOC
PA793532,1,Lepvraud,LFI-NUPES
PA793528,1,Bouloux,RE
PA722398,1,Rebeyrotte,RE
PA267780,1,Firmin Le Bodo,HOR
PA736201,1,Taillé-Polian,ECOLO
PA793464,1,Delogu,LFI-NUPES
PA757225,1,Seo,RE
PA607395,1,Travert,RE
PA774962,1,Lebon,GDR-NUPES
PA719718,1,Maillart-Méhaignerie,RE
PA721880,1,Guévenoux,RE
PA794166,1,Tavel,LFI-NUPES
PA795298,1,Legavre,LFI-NUPES
PA794214,1,Bataillon,RE
PA721004,1,Lakrafi,RE
PA795240,1,Reid Arbelot,GDR-NUPES
PA721094,1,Dunoyer,RE
PA795200,1,Dufour,LFI-NUPES
PA795192,1,Chailloux,GDR-NUPES
PA721150,1,Holroyd,RE
PA795124,1,Padey,DEM
PA795076,1,Rousseau,ECOLO
PA721158,1,Anglade,RE
PA720054,1,Haury,RE
PA795046,1,Yadan,RE
PA794930,1,Tanzilli,RE
PA721270,1,Peu,GDR-NUPES
PA643048,1,Lanlo,RE
PA718962,1,Zulesi,RE
PA721328,1,Brugnera,RE
PA794798,1,Buffet,RE
PA335999,1,Batho,ECOLO
PA721458,1,Roseren,RE
PA794486,1,Spillebout,RE
PA721750,1,Calvez,RE
PA794278,1,Albertini,HOR
PA719154,1,Martin,RE
PA793940,1,Cazenave,RE
